"gene","module","degree","betweenness","closeness"
"Dapma7bEVm000016","MEgreen",177,0.000580706645172208,1.98627345392048
"Dapma7bEVm009881","MEgreen",74,0.000547455548925129,1.98303450963329
"Dapma7bEVm008476","MEgreen",81,0.000531126885589509,1.97658836853348
"Dapma7bEVm011163","MEgreen",60,0.000374074832779643,1.61425340003106
"Dapma7bEVm000335","MEgreen",98,0.000338151773441281,2.0216556584438
"Dapma7bEVm005295","MEgreen",90,0.000332214077682874,1.99688284917778
"Dapma7bEVm015400","MEgreen",116,0.000323307534045263,2.07516055005527
"Dapma7bEVm016380","MEgreen",103,0.000322119994893582,2.01072155616578
"Dapma7bEVm014990","MEgreen",149,0.000291243976949865,1.86941921334506
"Dapma7bEVm022712","MEgreen",164,0.000286196935555219,1.89969657332602
"Dapma7bEVm018402","MEgreen",200,0.000274618428826325,1.92314782374802
"Dapma7bEVm007221","MEgreen",122,0.000245820604398051,1.8277806085903
"Dapma7bEVm001627","MEgreen",182,0.000233351443305396,1.89392142644769
"Dapma7bEVm000899","MEgreen",174,0.000200991001422078,1.92065551001214
"Dapma7bEVm015027","MEgreen",145,0.000191193803420707,1.87273162078888
"Dapma7bEVm004026","MEgreen",169,0.000187334301177742,1.9020452033663
"Dapma7bEVm010815","MEgreen",159,0.000140723389474247,1.86588054054146
"Dapma7bEVm000772","MEgreen",114,0.000139832735110486,1.78357514913943
"Dapma7bEVm000944","MEgreen",185,0.000130926191472875,1.89838939826645
"Dapma7bEVm027945","MEgreen",163,0.000130926191472875,1.86452907805058
"Dapma7bEVm002073","MEgreen",117,0.000119941454319822,2.04552780490156
"Dapma7bEVm027502","MEgreen",167,0.000113706873773495,1.85091840052686
"Dapma7bEVm006705","MEgreen",182,0.000108362947590928,1.91117631921538
"Dapma7bEVm001831","MEgreen",177,9.7081325649955e-05,1.89905195920462
"Dapma7bEVm000330","MEgreen",112,9.02529755277869e-05,1.76641510375818
"Dapma7bEVm000937","MEgreen",80,8.46121645573002e-05,1.97952438108719
"Dapma7bEVm010257","MEgreen",104,8.07526623143357e-05,1.74983127347231
"Dapma7bEVm010887","MEgreen",120,7.77838144351322e-05,1.79704447713669
"Dapma7bEVm001279","MEgreen",95,7.62993904955304e-05,1.74642691666878
"Dapma7bEVm001829","MEgreen",167,7.42211969800879e-05,1.86911258552231
"Dapma7bEVm001923","MEgreen",131,7.21430034646455e-05,1.73057426382545
"Dapma7bEVm003259","MEgreen",115,6.32364598270349e-05,1.78215973884372
"Dapma7bEVm009694","MEgreen",110,6.32364598270349e-05,1.7538729136147
"Dapma7bEVm004472","MEgreen",140,6.26426902511942e-05,1.77896980348634
"Dapma7bEVm001725","MEgreen",106,6.23458054632739e-05,1.72795886101001
"Dapma7bEVm015769","MEgreen",123,6.14551510995128e-05,1.7271355453836
"Dapma7bEVm010303","MEgreen",117,6.08613815236721e-05,1.73300291124405
"Dapma7bEVm003302","MEgreen",174,5.93769575840703e-05,1.8923377326415
"Dapma7bEVm009524","MEgreen",150,5.72987640686279e-05,1.83365641788211
"Dapma7bEVm000150","MEgreen",97,5.61112249169465e-05,1.68908391897965
"Dapma7bEVm002498","MEgreen",86,5.46268009773447e-05,1.97687134001684
"Dapma7bEVm009845","MEgreen",88,4.95797595826987e-05,1.74398501088015
"Dapma7bEVm015448","MEgreen",100,4.75015660672563e-05,1.75050762210082
"Dapma7bEVm026301","MEgreen",132,4.3048294248451e-05,1.79178631585844
"Dapma7bEVm003967","MEgreen",137,4.15638703088492e-05,1.8097146594243
"Dapma7bEVm011294","MEgreen",119,4.06732159450882e-05,1.76435942830926
"Dapma7bEVm000605","MEgreen",157,4.00794463692475e-05,1.82551065019119
"Dapma7bEVm003203","MEgreen",129,3.94856767934068e-05,1.78292767508824
"Dapma7bEVm023412","MEgreen",153,3.94856767934068e-05,1.8191108826769
"Dapma7bEVm018819","MEgreen",105,3.85950224296457e-05,1.74620390470113
"Dapma7bEVm002444","MEgreen",154,3.82981376417254e-05,1.81959638570377
"Dapma7bEVm010665","MEgreen",126,3.7110598490044e-05,1.75125199200156
"Dapma7bEVm000978","MEgreen",72,3.68137137021236e-05,1.64891605771557
"Dapma7bEVm009598","MEgreen",157,3.62199441262829e-05,1.83153868646681
"Dapma7bEVm009824","MEgreen",131,3.59230593383626e-05,1.77635526722553
"Dapma7bEVm011858","MEgreen",87,3.2954211459159e-05,1.7352311688981
"Dapma7bEVm018795","MEgreen",76,3.2954211459159e-05,1.69911090798219
"Dapma7bEVm011295","MEgreen",88,2.90947092161945e-05,1.67075859551504
"Dapma7bEVm009557","MEgreen",124,2.79071700645131e-05,1.77177334197386
"Dapma7bEVm006387","MEgreen",102,2.67196309128317e-05,1.70336206992785
"Dapma7bEVm002969","MEgreen",113,2.52352069732299e-05,1.71545613320471
"Dapma7bEVm005653","MEgreen",102,2.46414373973892e-05,1.75491450517841
"Dapma7bEVm005146","MEgreen",130,2.40476678215485e-05,1.78141206860491
"Dapma7bEVm001013","MEgreen",104,2.34538982457078e-05,2.01446177061619
"Dapma7bEVm028411","MEgreen",85,1.98912807906636e-05,1.68486816336709
"Dapma7bEVm009573","MEgreen",96,1.95943960027432e-05,1.72728830387314
"Dapma7bEVm002853","MEgreen",118,1.84068568510618e-05,1.74830204738317
"Dapma7bEVm009953","MEgreen",153,1.81099720631415e-05,1.81596830126413
"Dapma7bEVm003882","MEgreen",58,1.75162024873008e-05,1.61873477408158
"Dapma7bEVm015582","MEgreen",110,1.72193176993804e-05,2.01186382493424
"Dapma7bEVm029427","MEgreen",115,1.72193176993804e-05,1.74994409682527
"Dapma7bEVm023363","MEgreen",75,1.66255481235397e-05,1.67500112941077
"Dapma7bEVm003997","MEgreen",73,1.63286633356193e-05,1.50550281558662
"Dapma7bEVm000991","MEgreen",60,1.6031778547699e-05,1.68013422624291
"Dapma7bEVm007847","MEgreen",148,1.6031778547699e-05,1.77864038876984
"Dapma7bEVm009826","MEgreen",92,1.54380089718583e-05,1.74443888509662
"Dapma7bEVm000361","MEgreen",59,1.51411241839379e-05,1.91862062400614
"Dapma7bEVm006468","MEgreen",102,1.30629306684955e-05,1.71275101490822
"Dapma7bEVm008129","MEgreen",121,1.30629306684955e-05,1.74268403403609
"Dapma7bEVm009757","MEgreen",91,1.30629306684955e-05,1.72255725833818
"Dapma7bEVm001000","MEgreen",97,1.27660458805751e-05,2.00206301589018
"Dapma7bEVm009025","MEgreen",86,1.27660458805751e-05,1.70113495647875
"Dapma7bEVm015475","MEgreen",90,1.27660458805751e-05,1.70178604485975
"Dapma7bEVm006942","MEgreen",110,1.21722763047344e-05,1.70630715022838
"Dapma7bEVm010558","MEgreen",141,1.21722763047344e-05,1.73925476263362
"Dapma7bEVm011181","MEgreen",144,1.18753915168141e-05,1.73806513797613
"Dapma7bEVm000925","MEgreen",142,1.12816219409734e-05,1.79304238413385
"Dapma7bEVm002561","MEgreen",128,1.12816219409734e-05,1.73055223901635
"Dapma7bEVm023203","MEgreen",61,1.12816219409734e-05,1.91307915078475
"Dapma7bEVm000336","MEgreen",62,1.0984737153053e-05,1.67552364384155
"Dapma7bEVm006425","MEgreen",114,9.50031321345126e-06,1.73876798978674
"Dapma7bEVm001276","MEgreen",110,9.2034284255309e-06,2.00018318553833
"Dapma7bEVm000306","MEgreen",89,8.90654363761055e-06,1.72207564219887
"Dapma7bEVm015580","MEgreen",91,8.31277406176985e-06,1.71023528816046
"Dapma7bEVm010624","MEgreen",103,7.71900448592915e-06,1.72013389628455
