"module","trait","correlation","padj"
"MEdarkturquoise","171118-09-5",-0.0322926004781834,0.976452332806933
"MEdarkturquoise","37350-58-6",0.0116585839664482,0.984045558531983
"MEdarkturquoise","83-15-8",0.0609912171915896,0.921989451831869
"MEdarkturquoise","1672-58-8",0.0274071505832403,0.976452332806933
"MEdarkturquoise","604-75-1",-0.0322913448802522,0.976452332806933
"MEdarkturquoise","70-55-3",0.0684911263538831,0.880870963166774
"MEdarkturquoise","60-80-0",-0.0220383558658034,0.976452332806933
"MEdarkturquoise","27503-81-7",-0.0445976293049969,0.969378383757342
"MEdarkturquoise","56038-13-2",0.0214044611755736,0.976452332806933
"MEdarkturquoise","723-46-6",0.0160760822788277,0.983099084603049
"MEdarkturquoise","5915-41-3",-0.0129480182884982,0.984045558531983
"MEdarkturquoise","66753-07-9",0.0880965436715474,0.766112552917753
"MEdarkturquoise","143-24-8",0.0697152777269117,0.874028569412709
"MEdarkturquoise","27203-92-5",-0.0364407737095026,0.975033833283749
"MEdarkturquoise","791-28-6",-0.0368894732072891,0.975033833283749
"MEdarkgrey","29331-92-8",-0.148421570712818,0.424023793635249
"MEdarkgrey","58955-93-4",-0.111510782520163,0.653185034979723
"MEdarkgrey","95-14-7",-0.152957913397005,0.396428944306634
"MEdarkgrey","615-22-5",-0.165257620805493,0.305525994813786
"MEdarkgrey","941-57-1",-0.18773394451997,0.220466406973144
"MEdarkgrey","68011-66-5",-0.0992597186464579,0.730134235684517
"MEdarkgrey","94-75-7",-0.108325882845877,0.656169115282151
"MEdarkgrey","51-28-5",-0.228103461138744,0.114949099458509
"MEdarkgrey","136-85-6",-0.097847638747801,0.731167340787414
"MEdarkgrey","33665-90-6",-0.0611935418491068,0.921562497406496
"MEdarkgrey","1912-24-9",-0.0227868654860208,0.976452332806933
"MEdarkgrey","25057-89-0",0.130977453068761,0.50829087981036
"MEdarkgrey","4065-45-6",-0.176803285271941,0.264032669400852
"MEdarkgrey","298-46-4",-0.181775159128808,0.239359312786502
"MEdarkgrey","1698-60-8",-0.171812073061149,0.276731193274374
"MEdarkgrey","15545-48-9",-0.175547883982433,0.266401729758513
"MEdarkgrey","81103-11-9",-0.126320868087604,0.538807553537511
"MEdarkgrey","100-88-9",0.00312097235965112,0.992749801547302
"MEdarkgrey","134-62-3",-0.136629426968551,0.477381945016272
"MEdarkgrey","75847-73-3",0.0174323045105085,0.976452332806933
"MEdarkgrey","68002-20-0",-0.1030386937204,0.711252203516269
"MEdarkgrey","34123-59-6",-0.231727940872215,0.103849931695056
