"source_metabolite","target_metabolite","tom_weight","module"
"179_0909309","249_0965969",0.25946794692897,"MEturquoise"
"180_9045548","249_0965969",0.261416218642611,"MEturquoise"
"191_0408271","249_0965969",0.288123841792418,"MEturquoise"
"192_0749193","249_0965969",0.259001850061005,"MEturquoise"
"194_0330708","249_0965969",0.263908499618355,"MEturquoise"
"198_9747464","249_0965969",0.298962926830888,"MEturquoise"
"214_006924","249_0965969",0.281138632896576,"MEturquoise"
"216_015376","249_0965969",0.259336710726619,"MEturquoise"
"226_0459948","249_0965969",0.284464307732652,"MEturquoise"
"179_062647","250_0999527",0.279824773236988,"MEturquoise"
"179_0909309","250_0999527",0.251102203802974,"MEturquoise"
"180_9045548","250_0999527",0.25252162356181,"MEturquoise"
"191_0408271","250_0999527",0.278329014021979,"MEturquoise"
"192_0749193","250_0999527",0.251805271429825,"MEturquoise"
"194_0330708","250_0999527",0.256887207480441,"MEturquoise"
"198_9747464","250_0999527",0.289773588330956,"MEturquoise"
"214_006924","250_0999527",0.277829320732102,"MEturquoise"
"216_015376","250_0999527",0.251332639073428,"MEturquoise"
"226_0459948","250_0999527",0.274882658930927,"MEturquoise"
"249_0965969","250_0999527",0.278750378719187,"MEturquoise"
"179_062647","260_027772",0.261977620641074,"MEturquoise"
"191_0408271","260_027772",0.287578988124481,"MEturquoise"
"214_006924","260_027772",0.301167754113129,"MEturquoise"
"249_0965969","260_027772",0.275803854755257,"MEturquoise"
"250_0999527","260_027772",0.266021958494557,"MEturquoise"
"111_0897684","269_0802017",0.259053213903891,"MEturquoise"
"179_062647","269_0802017",0.259331765318547,"MEturquoise"
"180_9045548","269_0802017",0.287509961987915,"MEturquoise"
"191_0408271","269_0802017",0.345275343179712,"MEturquoise"
"210_0507879","269_0802017",0.251045691532845,"MEturquoise"
"214_006924","269_0802017",0.367010057276876,"MEturquoise"
"216_015376","269_0802017",0.283820066791922,"MEturquoise"
"218_0220922","269_0802017",0.259315399885479,"MEturquoise"
"226_0459948","269_0802017",0.256553584364557,"MEturquoise"
"249_0965969","269_0802017",0.260410799444691,"MEturquoise"
"250_0999527","269_0802017",0.250265788099533,"MEturquoise"
"260_027772","269_0802017",0.257400984206407,"MEturquoise"
"111_0897684","271_0784932",0.286496052466568,"MEturquoise"
"158_9226476","271_0784932",0.25068401001338,"MEturquoise"
"179_062647","271_0784932",0.313211210668955,"MEturquoise"
"179_0909309","271_0784932",0.264222905493531,"MEturquoise"
"180_9045548","271_0784932",0.324474892731247,"MEturquoise"
"191_0408271","271_0784932",0.366682089194649,"MEturquoise"
"192_0749193","271_0784932",0.263941406739193,"MEturquoise"
"194_0330708","271_0784932",0.278128346014703,"MEturquoise"
"198_9747464","271_0784932",0.321631301847801,"MEturquoise"
"207_0147953","271_0784932",0.280662167475771,"MEturquoise"
